,title,company,date,job_url,salary,summary
20,Remote Senior CRA,Parexel,PostedPublicado hace 8 días,https://mx.indeed.com/viewjob?jk=236e426a748dcc58&fccid=a2ce486f2a6b8708&vjs=3,,"Bachelor’s or equivalent degree in biological science, pharmacy or other health related discipline.Evaluate the quality and integrity of the reported data,…"
21,"Principal Clinical Data Manager, LATAM - IQVIA Biotech",IQVIA,PostedPublicado hace más de 30 días,https://mx.indeed.com/viewjob?jk=10ce7c6b1f0a037b&fccid=6b7a1dfe07e7f037&vjs=3,,"Proficiency with multiple data collection systems including electronic data capture (EDC) technologies such as ePRO or eCOA, IRT (preferred EDC systems are…"
22,Windows Sys Admin,Concentrix Catalyst,PostedPublicado hace más de 30 días,https://mx.indeed.com/viewjob?jk=4c02f7c34edb30e4&fccid=19a850e1438d66bf&vjs=3,,The Catalyst Team is seeking a Windows Sys Admin to join our full-time team as full-time employee.Install configure and maintain Windows based systems.
23,Backend Developer (Python),Rightsource Business Solutions SA de CV,PostedPublicado hace 13 días,https://mx.indeed.com/viewjob?ompany/Rightsource-Bussines-Solutions-SA-de-CV/jobs/Back-end-developer-494d18b2d07dcc38?fccid=461fbf35f81f50a3&vjs=3,,We are transforming Natural Language Data From Raw to Machine Learning-Ready: Open source libraries & APIs to build custom preprocessing pipelines for labelling…
24,Technical Services Manager - Mexico,Novus International,PostedPublicado hace 22 días,https://mx.indeed.com/viewjob?jk=a5dff58e560192dd&fccid=1e37d28d57809298&vjs=3,,"Proven analytical skills to manage and interpreted data, run field trials, and provide feedback on controlled experimental work by R&D."
25,Software Developer Engineer in Testing (Java) || B2 English - Home Office,Techgenies México,PostedPublicado hace 2 días,https://mx.indeed.com/viewjob?ompany/Clarity-HR/jobs/Software-engineer-032f7027072dcf78?fccid=90734c528c239a51&vjs=3,"$45,000 a $55,000 por mes","Core competency in computer science: general programming, logic, problem-solving, data structures, algorithms, etc.Knowledge about ISTQB – Foundation level."
26,Oracle Database Administrator,DEINTEC,PostedPublicado hace más de 30 días,https://mx.indeed.com/viewjob?ompany/DEINTEC/jobs/Database-administrator-a67265514f50c634?fccid=f5e368d2291607ad&vjs=3,"Hasta $55,000 por mes",· The ideal candidate will have a passion for data and can tell a story through data.· Good understanding of data architecture.· MS Dynamics CRM: SDK (MS .
27,"Manager, Procurement",Thermo Fisher Scientific,PostedHoy,https://mx.indeed.com/viewjob?jk=0c13e57c8963efab&fccid=126e3afd205caa95&vjs=3,,"Works on problems of diverse scope including analysis of data.Proficiency in analyzing data from ERP systems, using Excel and Access."
28,PROJECT MANAGER - MAXIMO,Softnet Soluciones,PostedPublicado hace más de 30 días,https://mx.indeed.com/viewjob?ompany/Softnet-Soluciones/jobs/Maximo-manager-eff2f96076a18af4?fccid=690dfbaf4ad3f429&vjs=3,,"Bachelor's or master’s degree in Computer Science, Mathematics, Statistics, Engineering, Data Science or related quantitative/analytical field."
29,Financial Systems Analyst,IQVIA,PostedPublicado hace más de 30 días,https://mx.indeed.com/viewjob?jk=82af6ba34abeeb83&fccid=6b7a1dfe07e7f037&vjs=3,,"Create new data elements within the ERP and other systems as required.Administer, as directed, required changes to metadata, updating organizational structures…"
30,Research Analyst,Lawson Chase,PostedPublicado hace más de 30 días,https://mx.indeed.com/viewjob?jk=dc866661c07e94b0&fccid=b7d81475a6e85fab&vjs=3,,"Creating innovative data based solutions to client needs using a variety of software programs.A graduate degree in a quantitative discipline (e.g. economics,…"
31,LATAM Field CTO,Red Hat Software,PostedPublicado hace más de 30 días,https://mx.indeed.com/viewjob?jk=20691d718650ec32&fccid=e24a60f01d1882d1&vjs=3,,"Solid understanding of the importance of enabling technologies for the modernization journey, including application development, integration techniques,…"
32,"Translator Associate, Chinese | Remote",IQVIA,PostedPublicado hace 19 días,https://mx.indeed.com/viewjob?jk=22159d30f3509ede&fccid=6b7a1dfe07e7f037&vjs=3,,"Support for all operations related to the team including collection, reporting, follow up processes.Translation management as applicable, local case narrative…"
33,Senior Clinical Specialist - Digital Health Sciences (FT),Signant Health,PostedPublicado hace 2 días,https://mx.indeed.com/viewjob?jk=1dd67c736ae9fab4&fccid=bd7c229675b4b45a&vjs=3,,Familiar with the bridge between technology and science in digital health technologies for clinical trials.Advanced degree (MSc or Ph.D.) in biological science…
34,Site Activation Specialist (Contracts Jr),IQVIA,PostedPublicado hace 1 días,https://mx.indeed.com/viewjob?jk=d048ef51348eb6ee&fccid=6b7a1dfe07e7f037&vjs=3,,"Under moderate supervision, executes the feasibility, site identification regulatory, start-up, and maintenance activities in accordance with regulations, SOPs,…"
35,Especialista Natural Language Processing,Ogum Empleos,PostedPublicado hace 21 días,https://mx.indeed.com/viewjob?jk=bfec2a289b734e7d&fccid=9edd5640acf5e829&vjs=3,,"Mas de 4 años de experiencia relevante como científico de datos, Especialista Natural Lenguage Processing, Tecnología Dataiku Data Science Studio, AWS SageMaker…"
36,"Lead Data Analyst, Product",Deel,PostedPublicado hace más de 30 días,https://mx.indeed.com/viewjob?jk=a59ae2571477792b&fccid=bfc6aa5858cd322e&vjs=3,,Generate new ideas for how to leverage data and drive business performance.Capability to prioritize and guide your team on data and business objectives.
37,Client Services Rep 4,IQVIA,PostedPublicado hace 22 días,https://mx.indeed.com/viewjob?jk=5de483b508dbb9c0&fccid=6b7a1dfe07e7f037&vjs=3,,"Provide day to day guidance and support to clients.Learns the technical skills necessary to answer client queries, business answers and maintain logs and…"
38,PYTHON LEAD,Svitla Systems,PostedPublicado hace más de 30 días,https://mx.indeed.com/viewjob?jk=6965bb37381f34a3&fccid=2f27a82023b4a64f&vjs=3,,Experience integrating data science functionality and ML into existing applications.Oversee a data analytics infrastructure that consists of a Flask…
39,Unity Developer,EPAM Systems,PostedPublicado hace más de 30 días,https://mx.indeed.com/viewjob?jk=a00e4e5d96cf2181&fccid=532afac41b2663f7&vjs=3,,You will report directly to the VP of Platform Engineering and work in a variety of technology stacks to improve and operate our build and platform systems for…
40,PHP Developer,Advancio,PostedPublicado hace más de 30 días,https://mx.indeed.com/viewjob?jk=f534db8b63b5a7c3&fccid=499f5f3f49a7db0c&vjs=3,,"Utilize backend data services and contribute to increasing existing data services API.As a PHP Developers, you will be responsible for developing, recording…"
41,Software Engineer,Autodesk,PostedPublicado hace más de 30 días,https://mx.indeed.com/viewjob?jk=095975ec77ca160c&fccid=7136762d065a5ad7&vjs=3,,"Work with large data sets, including time series data.Experience querying data with GraphQL.Experience visualizing data in different manners (charts,…"
42,Senior Power BI Developer,Edison Energy | Alfa Energy | Altenex Energy,PostedPublicado hace 14 días,https://mx.indeed.com/viewjob?jk=2cdb36223c05389e&fccid=9e2a2829f8238feb&vjs=3,,"Develop Power BI data models that aggregate data from multiple data sources to meet requirements, configure, and set up application gateway refreshes."
43,Email Specialist,Solera,PostedPublicado hace más de 30 días,https://mx.indeed.com/viewjob?jk=0b2a25a1a1e1cf5f&fccid=aba27e89f85b47c6&vjs=3,,"The Email Marketing Specialist will be responsible for the development, delivery, and analysis of digital communications to achieve business goals."
44,Senior Clinical Research Associate,Parexel,PostedPublicado hace 8 días,https://mx.indeed.com/viewjob?jk=ccb617f638e2eeb3&fccid=a2ce486f2a6b8708&vjs=3,,Apply working knowledge and judgment to identify and evaluate potential data quality and data integrity issues.Conduct remote Qualification Visits (QVs).
