,title,company,date,job_url,salary,summary
0,BI Engineer (8 weeks project),EQUALS TRUE,PostedRecién publicado,https://mx.indeed.com/viewjob?jk=c84bfed12eb6d6f5&fccid=1bcb0fe5a750ff21&vjs=3,,"We believe that for Equality, Diversity, and Inclusion to thrive in the workplace all individuals must feel Safe, Valued, and Respected. And that the only way…"
1,Senior Data Engineer,CODIGOMX,PostedHoy,https://mx.indeed.com/viewjob?ompany/CodigoMX/jobs/Data-engineer-d658dcb8cc7a8697?fccid=612d2ec857d32378&vjs=3,"$48,000 a $55,000 por mes","Required Technologies AGILE(Scrum), .Git and Github, Matillion, snowflake, SQL, ETL Process Required Languages English - Advanced Description We are…"
2,Data Engineer,"Perficient, Inc",PostedPublicado hace más de 30 días,https://mx.indeed.com/viewjob?jk=bf21652f6ab6e564&fccid=7affa64765ffaf8f&vjs=3,,Are you theOracle Cloud ERP Applications Analyst we are looking for? Inflection Point by Perficient is a leading global digital consultancy and has a…
3,Junior FullStack Developer,Luxoft,PostedPublicado hace 22 días,https://mx.indeed.com/viewjob?jk=1ccfdaf7e07f9744&fccid=4b841d912d46e4fd&vjs=3,,Project Description We are looking for a Software Engineer with passion for delivery of innovative customer facing web applications amidst an agile…
4,Machine Learning Engineer,iKraft Solutions,PostedPublicado hace 8 días,https://mx.indeed.com/viewjob?ompany/iKraft-Solutions/jobs/Machine-learning-engineer-94621b0d50661801?fccid=130c9d9b434f3dde&vjs=3,"$75,000 a $95,000 por mes","We are looking for Machine Learning Engineers, technically proficient programmers who research, build and design self-executing software to automate…"
5,Clinical Study Team Assistant I,Parexel,PostedPublicado hace 8 días,https://mx.indeed.com/viewjob?jk=23fc2cd73aeafa25&fccid=a2ce486f2a6b8708&vjs=3,,Clinical Study Team Assistant I (CSTA I) - Remote- Mexico Position Purpose: The Clinical Study Team Assistant I (CSTA I) is an essential part of the Core…
6,"ETL + Data Engineer, ""Data Swiss Army Knife""",Data Driven Partners,PostedPublicado hace más de 30 días,https://mx.indeed.com/viewjob?ompany/Data-Driven-Partners/jobs/ETL-developer-f6a515b30daf498b?fccid=cd5befc55443c6b5&vjs=3,"$12,790 a $28,991 por mes","Data Driven Partners is a private equity fund with multiple investments, and the posting below is for a role with its lending operation and brand, New…"
7,Assistant CRA,Thermo Fisher Scientific,PostedRecién publicado,https://mx.indeed.com/viewjob?jk=f6c83dba408d38c8&fccid=126e3afd205caa95&vjs=3,,"At Thermo Fisher Scientific, you’ll discover meaningful work that makes a positive impact on a global scale. Join our colleagues in bringing our Mission to…"
8,Software Engineer I (New graduates),Ellucian,PostedPublicado hace 27 días,https://mx.indeed.com/viewjob?jk=a0f15fcb0fb55bfe&fccid=298217a26e89e68e&vjs=3,,"Together we are powering the future of Higher Education: Here at Ellucian, we are motivated by a mission ~ the power of education to transform lives and…"
9,SENIOR PROJECT MANAGER,Svitla Systems,PostedPublicado hace 7 días,https://mx.indeed.com/viewjob?jk=0ae33928b279c89d&fccid=2f27a82023b4a64f&vjs=3,,Svitla Systems Inc. is looking for a Senior Project Manager for a full-time position (40 hours per week) in Mexico. Our client is a worldwide provider of…
10,Solution Data Architect,"Perficient, Inc",PostedPublicado hace más de 30 días,https://mx.indeed.com/viewjob?jk=4f316cfa148b6908&fccid=7affa64765ffaf8f&vjs=3,,Are you theOracle Cloud ERP Applications Analyst we are looking for? Inflection Point by Perficient is a leading global digital consultancy and has a…
11,Solution Data Architect,Perficient,PostedPublicado hace más de 30 días,https://mx.indeed.com/viewjob?jk=0f0721abd7344b14&fccid=7affa64765ffaf8f&vjs=3,,Why is Perficient the best option? Inflection Point by Perficient is a leading global digital consultancy and has a presence around the globe transforming…
12,Senior Clinical Data Lead,ICON,PostedPublicado hace 29 días,https://mx.indeed.com/viewjob?jk=23a83a8a1328c4ab&fccid=6c527578251bc5e1&vjs=3,,As Senior Clinical Data Lead you will play a key role in improving the lives of patients by accelerating the development of our customers drugs and devices…
13,"Biostatistician 1 (Home-Based, LATAM) - IQVIA Biotech",IQVIA,PostedPublicado hace más de 30 días,https://mx.indeed.com/viewjob?jk=5ed728f610158ca5&fccid=6b7a1dfe07e7f037&vjs=3,,"Job Overview With appropriate support and guidance: prepare analysis plans and write detailed specifications for analysis files, tables, listings and figures,…"
14,Data Intelligence Consultant,DYCSI,PostedPublicado hace más de 30 días,https://mx.indeed.com/viewjob?jk=fb94804f0191bae6&fccid=bf8b93a1a2fc9ccc&vjs=3,,"As SAP Partners, we are in a constantly changing market, driven by our candidates. That is why we are looking for the best Data Intelligence Consultant to…"
15,"Study Start-Up Manager, Mexico - IQVIA Biotech",IQVIA,PostedPublicado hace 23 días,https://mx.indeed.com/viewjob?jk=66849f2cfcec0359&fccid=6b7a1dfe07e7f037&vjs=3,,IQVIA Biotech is looking for a candidate with strong study start-up/site activation experience along with a background in project management (2-3 years).
16,Data Platform Manager (Looker),Deel,PostedPublicado hace más de 30 días,https://mx.indeed.com/viewjob?jk=682ef8c62395db3d&fccid=bfc6aa5858cd322e&vjs=3,,Define and own data security policy across the entire data platform (Snowflake + Looker).Have product analytics and/or data engineering experience.
17,Software Engineer,BlackLine,PostedPublicado hace 20 días,https://mx.indeed.com/viewjob?jk=905da3c79bb8ef43&fccid=e2c3b3361dcb3632&vjs=3,,"A solid computer science foundation including data structures, algorithms, and design patterns, with a proven track record of software design and development."
18,.NET Technical Leader - TRABAJO REMOTO,U hi,PostedPublicado hace 1 días,https://mx.indeed.com/viewjob?mp=U-hi&ti=.NET+technical+leader+-+trabajo+remoto&jk=d5b7385dffc0cc31&fccid=4e98470c67bfe597&vjs=3,"$70,000 a $88,000 por mes","Experience with designing data models and managing database migrations.Actively contribute to agile project teams during scrums, sprint planning, code reviews."
19,Trainee Software Engineer - Remoto,Intugo,PostedPublicado hace más de 30 días,https://mx.indeed.com/viewjob?ompany/Intugo/jobs/Trainee-engineer-ad68ec7d97c749ca?fccid=c17c18621b36cc5f&vjs=3,"$18,000 por mes","You are interested in a career in software engineering, such as development, project management, quality assurance, data analysis, or data science."
